phenotype,study,n_lines,cv_r2,rmse,spearman_rho,date_run
Starvation resistance (EMMeans),Internal PSM model,108,0.6729258678238161,0.4212567633172316,0.8166185563081729,2026-07-03
Starvation resistance,Morgante 2015,104,0.040840936571469144,12.951681677966247,0.15037662174813063,2026-07-03
Lifespan,Ivanov 2015,104,-0.051519567898320906,9.916828151440969,-0.011714655322914734,2026-07-03
Chill coma recovery,Morgante 2015,95,-0.060031343480771326,5.331962329620337,-0.30496327324960404,2026-07-04
Cuticle HC n-C25,Dembeck 2015,91,-0.051831928439486585,0.025818465768524115,-0.9467590380633859,2026-07-04
"Starvation resistance (EMMeans, smoke test, regression check)",Internal PSM model,108,0.6729258678238161,0.4212567633172316,0.8166185563081729,2026-07-16
"Glucose (male, pooled diet)",Unckless 2015,77,-0.02648891966759037,0.014618271162942904,-1.0,2026-07-16
"Glycerol (male, pooled diet)",Unckless 2015,77,0.011588040366805497,0.011915444469117263,0.21688837478311157,2026-07-16
"Glycogen (male, pooled diet)",Unckless 2015,77,-0.06972100875430587,0.02661021310530919,0.007992007992007992,2026-07-16
"Triglyceride (male, pooled diet)",Unckless 2015,77,-0.05067443801366789,0.019498344718842014,-0.13709974236290026,2026-07-16
"Protein (male, pooled diet)",Unckless 2015,77,-0.07434268577316616,0.014336261944656864,-0.9833324570166674,2026-07-16
"MeanWeight (male, pooled diet)",Unckless 2015,77,-0.026488919667590594,60.81511079056527,-1.0,2026-07-16
"Triglyceride (male, high-glucose diet)",Unckless 2015,77,-0.006034600313531424,0.02179667916939297,-0.24007571375992426,2026-07-17
"Triglyceride (male, low-glucose diet)",Unckless 2015,80,-0.03047562946115301,0.030100236927702917,-0.9993436474449133,2026-07-17
"Glycerol (male, high-glucose diet)",Unckless 2015,77,0.012464576402473004,0.01537125352933933,0.1901256638098743,2026-07-17
"Glycerol (male, low-glucose diet)",Unckless 2015,80,0.00695199612661157,0.012970685259694113,0.17313642756680733,2026-07-17
"Glucose (male, high-glucose diet)",Unckless 2015,77,-0.02648891966759015,0.02173183579294267,-1.0,2026-07-17
"Glucose (male, low-glucose diet)",Unckless 2015,80,-0.04841197742634806,0.016524641859936694,-0.4700656352555087,2026-07-17
"Glycogen (male, high-glucose diet)",Unckless 2015,77,-0.045458559225626693,0.03140498995992074,0.03972343446027656,2026-07-17
"Glycogen (male, low-glucose diet)",Unckless 2015,80,-0.025476686428457018,0.026350881897826757,-1.0,2026-07-17
"Protein (male, high-glucose diet)",Unckless 2015,77,-0.02648891966759015,0.01879385751941435,-1.0,2026-07-17
"Protein (male, low-glucose diet)",Unckless 2015,80,0.06629543790631098,0.017372329329900335,0.2580168776371308,2026-07-17
"MeanWeight (male, high-glucose diet)",Unckless 2015,77,-0.02648891966759015,63.759087267721505,-1.0,2026-07-18
"MeanWeight (male, low-glucose diet)",Unckless 2015,80,-0.03172122829210333,69.18525373997771,-0.9999296765119551,2026-07-18
"Lifespan (mated, Durham 2014)",Durham 2014,96,-0.08474570675608706,9.838610771863388,-0.9695198046663048,2026-08-02
Fecundity Week 1 (Durham 2014),Durham 2014,96,-0.0578872866791631,11.664350014475174,-0.686462289744981,2026-08-02
Fecundity Week 7 (Durham 2014),Durham 2014,76,-0.006037036482105407,2.3616865957207827,0.2189132330126146,2026-08-02
"Lifespan 18C (mated, Huang 2020)",Huang 2020,99,-0.023422542441058125,21.566890224536696,-0.9994310451453308,2026-08-02
"Lifespan 25C (mated, Huang 2020)",Huang 2020,102,0.05647382971044923,10.112465466229883,0.26312619981388785,2026-08-02
"Lifespan 28C (mated, Huang 2020)",Huang 2020,99,-0.034308649309073846,6.819745074313112,-0.9999876314162027,2026-08-02
